log_col,raw_col,transform,back_transform,dual_test
log_cec_meq_100g,cec_meq_100g,log1p,expm1,False
log_digest_mg_kg_hg1849,digest_mg_kg_hg1849,log1p,expm1,False
log_digest_mg_kg_li6707,digest_mg_kg_li6707,log1p,expm1,False
log_digest_mg_kg_mo2020,digest_mg_kg_mo2020,log1p,expm1,False
log_digest_mg_kg_p_1774,digest_mg_kg_p_1774,log1p,expm1,False
log_digest_mg_kg_pb2203,digest_mg_kg_pb2203,log1p,expm1,False
log_digest_mg_kg_sb2068,digest_mg_kg_sb2068,log1p,expm1,False
log_digest_mg_kg_se1960,digest_mg_kg_se1960,log1p,expm1,False
log_digest_mg_kg_sn1899,digest_mg_kg_sn1899,log1p,expm1,False
log_digest_mg_kg_sr4077,digest_mg_kg_sr4077,log1p,expm1,False
log_digest_mg_kg_tl1908,digest_mg_kg_tl1908,log1p,expm1,False
log_ec_us_cm,ec_us_cm,dual_test,exp,True
log_total_mg_l_cl,total_mg_l_cl,dual_test,exp,True
log_hr_1_mg_l_cl,hr_1_mg_l_cl,dual_test,exp,True
log_hr_24_mg_l_cl,hr_24_mg_l_cl,dual_test,exp,True
log_total_mg_l_so4,total_mg_l_so4,dual_test,exp,True
log_hr_1_mg_l_so4,hr_1_mg_l_so4,dual_test,exp,True
log_hr_24_mg_l_so4,hr_24_mg_l_so4,dual_test,exp,True
log_total_mg_l_na,total_mg_l_na,dual_test,exp,True
log_total_mg_l_mg2,total_mg_l_mg2,dual_test,exp,True
log_total_mg_l_ca2,total_mg_l_ca2,dual_test,exp,True
log_digest_mg_kg_na5895,digest_mg_kg_na5895,dual_test,exp,True
log_digest_mg_kg_mg2852,digest_mg_kg_mg2852,dual_test,exp,True
log_digest_mg_kg_ca3158,digest_mg_kg_ca3158,dual_test,exp,True
