raw_col,r2_raw,r2_log,selected_transform,delta_r2,winner_note
digest_mg_kg_mg2852,0.405965,0.321544,raw,-0.084421,
digest_mg_kg_na5895,0.401436,0.401356,raw,-8e-05,Na: raw won
digest_mg_kg_ca3158,0.16472,0.316666,log,0.151946,
total_mg_l_mg2,0.14682,0.230273,log,0.083453,
hr_24_mg_l_cl,0.135549,0.245929,log,0.11038,
total_mg_l_na,0.117291,0.458206,log,0.340916,
hr_1_mg_l_so4,0.056293,0.181066,log,0.124773,
total_mg_l_so4,0.044648,0.164858,log,0.120211,
total_mg_l_cl,0.012211,0.155829,log,0.143618,
total_mg_l_ca2,0.010961,0.173577,log,0.162617,
hr_24_mg_l_so4,0.004215,-0.005212,raw,-0.009428,
hr_1_mg_l_cl,0.004092,0.180614,log,0.176523,
ec_us_cm,-0.036114,-0.082945,raw,-0.046831,
